eco,name,eco_group,moves,is_tracked_core,is_long_tail,model_tier,data_status
B20,Sicilian Defense,B,"e2e4,c7c5",True,False,1,ok
B12,Caro-Kann Defense,B,"e2e4,c7c6",True,False,1,ok
C00,French Defense,C,"e2e4,e7e6",True,False,1,ok
B01,Scandinavian Defense,B,"e2e4,d7d5",True,False,1,ok
C44,King's Pawn Game,C,"e2e4,e7e5",True,False,1,ok
C50,Italian Game,C,"e2e4,e7e5,g1f3,b8c6,f1c4",True,False,1,ok
C60,Ruy Lopez,C,"e2e4,e7e5,g1f3,b8c6,f1b5",True,False,1,ok
C20,King's Gambit,C,"e2e4,e7e5,f2f4",True,False,1,ok
D00,London System,D,"d2d4,d7d5,g1f3,g8f6,c1f4",True,False,1,ok
D06,Queen's Gambit,D,"d2d4,d7d5,c2c4",True,False,1,ok
D30,Queen's Gambit Declined,D,"d2d4,d7d5,c2c4,e7e6",True,False,1,ok
D70,Grunfeld Defense,D,"d2d4,g8f6,c2c4,g7g6,b1c3,d7d5",True,False,1,ok
E60,King's Indian Defense,E,"d2d4,g8f6,c2c4,g7g6,b1c3,f8g7",True,False,1,ok
E20,Nimzo-Indian Defense,E,"d2d4,g8f6,c2c4,e7e6,b1c3,f8b4",True,False,1,ok
A10,English Opening,A,c2c4,True,False,1,ok
A45,Trompowsky Attack,A,"d2d4,g8f6,c1g5",True,False,1,ok
B06,Modern Defense,B,"e2e4,g7g6",True,False,1,ok
A00,Polish Opening,A,b2b4,True,False,1,ok
C41,Philidor Defense,C,"e2e4,e7e5,g1f3,d7d6",True,False,1,ok
B07,Pirc Defense,B,"e2e4,d7d6,d2d4,g8f6",True,False,1,ok
A01,Nimzo-Larsen Attack,A,b2b3,True,False,1,ok
A02,Bird Opening,A,f2f4,True,False,1,ok
A03,Bird Opening: Dutch Variation,A,"f2f4,d7d5",True,False,1,ok
A04,Colle System: Rhamphorhynchus Variation,A,"g1f3,c7c5,e2e3,g7g6,d2d4,f8g7,d4c5,d8a5",False,False,3,missing
A05,King's Indian Attack,A,"g1f3,g8f6,g2g3,d7d5",True,False,1,ok
A06,Nimzo-Larsen Attack: Classical Variation,A,"g1f3,d7d5,b2b3",True,False,1,ok
